,Position,Track Name,Artist,Streams,URL,date
16,17,bad guy,Billie Eilish,17816634,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2020-01-05
17,18,Lose You To Love Me,Selena Gomez,17572597,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,2020-01-05
18,19,hot girl bummer,blackbear,16238889,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,2020-01-05
19,20,Ride It,Regard,15539132,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,2020-01-05
20,21,Watermelon Sugar,Harry Styles,15046960,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2020-01-05
21,22,Vete,Bad Bunny,14566103,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,2020-01-05
22,23,BOP,DaBaby,14405376,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,2020-01-05
23,24,Before You Go,Lewis Capaldi,13868353,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,2020-01-05
24,25,HIGHEST IN THE ROOM,Travis Scott,13543851,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,2020-01-05
25,26,No Idea,Don Toliver,13518622,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,2020-01-05
26,27,Heartless,The Weeknd,13269565,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,2020-01-05
27,28,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,13163070,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,2020-01-05
